Metric,Sample Size,Mean Value,Median Value,Bootstrap CI Low,Bootstrap CI High,Sample CI Low,Sample CI High,Sample CI Rel Width,Sample Q05,Sample Q95,Empirical CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Min. Trace Length,600,2.0,2.0,,,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,100.0,True
Min. Trace Length,700,2.0,2.0,,,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,100.0,True
Min. Trace Length,800,2.0,2.0,,,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,100.0,True
Min. Trace Length,900,2.0,2.0,,,,,,,,,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,100.0,True
Min. Trace Length,1000,2.0,2.0,,,2.0,2.0,0.0,2.0,2.0,0.0,-0.049568159709660956,0.1172350367533971,-0.04956815970966097,0.11723503675339603,100.0,True
Normalized Sequence Entropy,100,0.14015970847230877,0.1410193619877282,,,0.07477503776458959,0.20629144779954944,0.9383325027459187,0.07917904522130881,0.20192421727921048,0.875752192950318,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Sequence Entropy,200,0.1278365759882724,0.1230295300619859,,,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Sequence Entropy,300,0.12332831769803042,0.1237742008718328,,,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Sequence Entropy,400,0.12352129534765373,0.12164450837975185,,,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Sequence Entropy,500,0.11207476615215924,0.11058249521594851,,,0.06390159834464043,0.16951788037649235,0.9423734321110346,0.07012516275497503,0.1640726900015751,0.8382576245490571,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Sequence Entropy,600,0.12087639214124764,0.11859200877259296,,,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Sequence Entropy,700,0.11335108326833256,0.1125570708916876,,,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Sequence Entropy,800,0.11436127179990542,0.11506784697212716,,,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Sequence Entropy,900,0.1078542728276613,0.1083477146884809,,,,,,,,,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Sequence Entropy,1000,0.10723292728386653,0.10101893771977954,,,0.0706244683443194,0.1747559113882499,0.9710771279074961,0.07367204143366503,0.15704296612293442,0.7774750424239585,-0.2651883402598876,1.4805635003848e-17,-0.2459525751114266,3.0345849870711523e-15,2100.0,True
Normalized Variant Entropy,100,0.5949690007449688,0.6033765027618887,,,0.48682328673873093,0.6706059371374632,0.30889449730761687,0.49636396470677896,0.6672836746861144,0.2872749836803674,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Normalized Variant Entropy,200,0.6103981436360103,0.6137498803607568,,,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Normalized Variant Entropy,300,0.6173936952000745,0.6197306129554898,,,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Normalized Variant Entropy,400,0.627308924523717,0.6301145500311867,,,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Normalized Variant Entropy,500,0.6334705003564652,0.631994458885903,,,0.5604836285895167,0.6924521535081551,0.2083262359405487,0.5689472736449342,0.6809273230071474,0.17677231899386,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Normalized Variant Entropy,600,0.6381403028206997,0.6406659683122099,,,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Normalized Variant Entropy,700,0.6434427460936399,0.6510402174189033,,,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Normalized Variant Entropy,800,0.6404141803146185,0.6419736717803485,,,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Normalized Variant Entropy,900,0.6536699897064387,0.6564750710953151,,,,,,,,,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Normalized Variant Entropy,1000,0.6522396471312762,0.6567818877734912,,,0.5875624785735407,0.7000968733482912,0.17253534842554683,0.6010014710912158,0.6960328059886218,0.145700028073085,0.4013045293158639,5.521649630226737e-40,0.3885267213078537,2.225187143550863e-37,6100.0,True
Number of Distinct Activities,100,8.59,8.0,,,6.0,11.0,0.5820721769499418,6.0,11.0,0.5820721769499418,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,1100.0,True
Number of Distinct Activities,200,9.61,10.0,,,,,,,,,0.43305473990143994,5.701800928420006e-47,0.429784881009215,3.239839873788298e-46,1100.0,True
