Metric,Sample Size,Mean Value,Sample CI Low,Sample CI High,Sample CI Rel Width,Pearson Rho,Pearson P,Spearman Rho,Spearman P,Plateau n,Plateau Found
Normalized Variant Entropy,150,0.6016007579151701,0.5011430782381288,0.6867812704305866,0.3085737339091486,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
Normalized Variant Entropy,200,0.6108605956201998,0.5031101286959508,0.6898838584684617,0.3057550791647996,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
Normalized Variant Entropy,250,0.6176898846525304,0.52767358963396,0.6899987037238331,0.2627938681255658,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
Normalized Variant Entropy,300,0.6214355961377069,0.5271146483360873,0.6874947246942146,0.2580799641264641,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
Normalized Variant Entropy,350,0.6268037299837083,0.5335712657678044,0.6916341951377549,0.2521729240093367,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
Normalized Variant Entropy,400,0.6256998096147453,0.5437925147614319,0.6895189312200132,0.23290148761321777,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
Normalized Variant Entropy,450,0.6307694024733731,0.5452748753089935,0.6969576911249726,0.24047269132142493,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
Normalized Variant Entropy,500,0.6325627116743489,0.5478515076980373,0.7044405513440573,0.24754706649011898,0.4077149863538755,1.3626323029672558e-199,0.38416711887459626,1.4633651575838578e-175,250.0,True
Number of Distinct Activities,50,7.936,6.0,11.0,0.6300403225806451,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Activities,100,8.808,6.0,11.0,0.5676657584014533,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Activities,150,9.17,6.0,11.0,0.5452562704471101,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Activities,200,9.502,6.0,11.0,0.5262050094716901,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Activities,250,9.69,6.0,11.0,0.5159958720330238,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Activities,300,9.792,8.0,11.0,0.30637254901960786,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Activities,350,10.046,8.0,11.0,0.29862631893290864,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Activities,400,10.026,8.0,11.0,0.2992220227408737,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Activities,450,10.214,8.0,11.0,0.29371450949676914,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Activities,500,10.318,8.0,11.0,0.29075402209730566,0.43778561391860005,3.1154253970011907e-233,0.42118140324426523,3.1076857742555145e-214,450.0,True
Number of Distinct Directly-Follows Relations,50,11.966,7.0,19.0,1.0028413839211099,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
Number of Distinct Directly-Follows Relations,100,14.756,9.0,22.0,0.8809975603144483,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
Number of Distinct Directly-Follows Relations,150,16.346,10.0,25.0,0.9176556955830173,0.6094333313399832,0.0,0.6158041939280742,0.0,,False
